ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
42,The Cultural Center for Child Development,Family/Recreational,Tulkarm,Medium,Family,Family,"The Cultural Center for Child Development, in the Tulkarm area, offers educational and cultural programming for children.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,60,المركز الثقافي لتنمية الطفل,يقدم المركز الثقافي لتنمية الطفل في منطقة طولكرم برامج تعليمية وثقافية للأطفال.,"The Cultural Center for Child Development, in the Tulkarm area, offers educational and cultural programming for children."
43,Mamluk Mosque - Beit Lid,Religious,Tulkarm,Medium,All,Religious,The Mamluk Mosque in Beit Lid is a historic mosque dating to the Mamluk period.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25,المسجد المملوكي - بيت ليد,المسجد المملوكي في بيت ليد مسجد تاريخي يعود للعصر المملوكي.,The Mamluk Mosque in Beit Lid is a historic mosque dating to the Mamluk period.
44,Tel Al-Tlul,Archaeological,Tulkarm,Low,Youth,Adventure,Tel Al-Tlul is an archaeological mound (tell) in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,20,تل التلول,تل التلول تل أثري في محافظة طولكرم.,Tel Al-Tlul is an archaeological mound (tell) in the Tulkarm governorate.
45,Nirba,Historic Old City,Tulkarm,Low,All,Cultural,Nirba is a rural site in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10,نيربة,نيربة موقع ريفي في محافظة طولكرم.,Nirba is a rural site in the Tulkarm governorate.
46,The pottery factory,Historic Old City,Tulkarm,Medium,All,Cultural,"The pottery factory, in the Tulkarm area, reflects the region's traditional ceramics and craft industry.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25,مصنع الفخار,مصنع الفخار في منطقة طولكرم يعكس صناعة الخزف والحرف التقليدية في المنطقة.,"The pottery factory, in the Tulkarm area, reflects the region's traditional ceramics and craft industry."
47,The Roman Bathhouse,Archaeological,Tulkarm,Medium,Youth,Adventure,"The Roman Bathhouse, in the Tulkarm governorate, contains remains of an ancient Roman-period bathing facility.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25,الحمام الروماني,الحمام الروماني في محافظة طولكرم يحتوي على بقايا منشأة استحمام قديمة من العصر الروماني.,"The Roman Bathhouse, in the Tulkarm governorate, contains remains of an ancient Roman-period bathing facility."
48,The Grape Press,Historic Old City,Tulkarm,Low,All,Cultural,"The Grape Press, in the Tulkarm governorate, is a historic stone installation used for traditional grape pressing.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0,معصرة العنب,معصرة العنب في محافظة طولكرم منشأة حجرية تاريخية استُخدمت لعصر العنب تقليدياً.,"The Grape Press, in the Tulkarm governorate, is a historic stone installation used for traditional grape pressing."
49,Nisf Jubeil,Historic Old City,Nablus,Low,All,Cultural,Nisf Jubeil is a rural locality in the Nablus governorate.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10,نصف جبيل,نصف جبيل موقع ريفي في محافظة نابلس.,Nisf Jubeil is a rural locality in the Nablus governorate.
50,"Al-Hijaz Railway (Al-Masudiyya)- Burqa, Nablus",Historic Old City,Nablus,Low,All,Cultural,"The Al-Hijaz Railway station (Al-Masudiyya) in Burqa, near Nablus, is a remnant of the early 20th-century Ottoman railway line that once connected Damascus to Medina.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,15,"سكة حديد الحجاز (المسعودية) - بركة، نابلس",محطة سكة حديد الحجاز (المسعودية) في بركة قرب نابلس بقايا من خط السكة العثماني الذي ربط دمشق بالمدينة المنورة أوائل القرن العشرين.,"The Al-Hijaz Railway station (Al-Masudiyya) in Burqa, near Nablus, is a remnant of the early 20th-century Ottoman railway line that once connected Damascus to Medina."
51,Sebastia,Historic Old City,Nablus,Low,All,Cultural,"Sebastia, near Nablus, is one of Palestine's most significant archaeological sites, home to the ruins of the ancient city of Samaria, capital of the biblical Kingdom of Israel and later rebuilt by Herod the Great as a grand Roman city.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,سبسطية,"سبسطية قرب نابلس واحدة من أهم المواقع الأثرية في فلسطين، وتضم آثار مدينة السامرة القديمة، عاصمة مملكة إسرائيل التوراتية، والتي أعاد هيرودس الكبير بناءها لاحقاً كمدينة رومانية عظيمة.","Sebastia, near Nablus, is one of Palestine's most significant archaeological sites, home to the ruins of the ancient city of Samaria, capital of the biblical Kingdom of Israel and later rebuilt by Herod the Great as a grand Roman city."
52,"Church of Saint John the Baptist or Mosque of Yahya, Sebastia",Religious,Nablus,Medium,All,Religious,The Church of St. John the Baptist (also used as the Mosque of Yahya) in Sebastia is a Crusader-era church traditionally built over the site where John the Baptist's head was said to be buried.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,50,"كنيسة يوحنا المعمدان أو مسجد يحيى، سبسطية",كنيسة يوحنا المعمدان (المستخدمة أيضاً كمسجد يحيى) في سبسطية كنيسة من العصر الصليبي بُنيت تقليدياً فوق الموقع الذي يُقال إن رأس يوحنا المعمدان دُفن فيه.,The Church of St. John the Baptist (also used as the Mosque of Yahya) in Sebastia is a Crusader-era church traditionally built over the site where John the Baptist's head was said to be buried.
53,Roman Colonnaded Street,Archaeological,Nablus,Low,Youth,Adventure,"The Roman Colonnaded Street in Sebastia is a well-preserved avenue lined with columns, part of the ancient Roman city built under Herod the Great.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,الشارع الروماني ذو الأعمدة,"الشارع الروماني ذو الأعمدة في سبسطية جادة محفوظة جيداً مصطفة بالأعمدة، وجزء من المدينة الرومانية القديمة التي بناها هيرودس الكبير.","The Roman Colonnaded Street in Sebastia is a well-preserved avenue lined with columns, part of the ancient Roman city built under Herod the Great."
54,Roman Amphitheater of Sebastia (Anfiteatro Romano Sebastia),Archaeological,Nablus,Medium,Youth,Adventure,"The Roman Amphitheater of Sebastia is one of the archaeological highlights of the ancient city, used for public spectacles in the Roman period.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25,المدرج الروماني في سبسطية,"المدرج الروماني في سبسطية أحد أبرز المعالم الأثرية في المدينة القديمة، واستُخدم للعروض العامة في العصر الروماني.","The Roman Amphitheater of Sebastia is one of the archaeological highlights of the ancient city, used for public spectacles in the Roman period."
55,Forum and the Basilica,Historic Old City,Nablus,Medium,All,Cultural,The Forum and Basilica of Sebastia were the ancient city's central civic and administrative buildings during the Roman period.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,35,المنتدى والبازيليكا,كان المنتدى والبازيليكا في سبسطية المبنيين الإداريين والمدنيين المركزيين للمدينة القديمة في العصر الروماني.,The Forum and Basilica of Sebastia were the ancient city's central civic and administrative buildings during the Roman period.
56,The Stadium,Family/Recreational,Nablus,Medium,Family,Family,The Stadium at Sebastia was used for athletic and public events in the Roman-era city.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,الملعب,استُخدم الملعب في سبسطية للفعاليات الرياضية والعامة في المدينة خلال العصر الروماني.,The Stadium at Sebastia was used for athletic and public events in the Roman-era city.
57,Temple of Augstus,Historic Old City,Nablus,Medium,All,Cultural,"The Temple of Augustus at Sebastia was a monumental temple built by Herod the Great in honor of the Roman emperor Augustus, standing atop the acropolis of ancient Samaria.",32.27661,35.189021,OpenStreetMap Photon,Matched,35,معبد أغسطس,"معبد أغسطس في سبسطية معبد ضخم بناه هيرودس الكبير تكريماً للإمبراطور الروماني أغسطس، ويقع فوق أكروبوليس مدينة السامرة القديمة.","The Temple of Augustus at Sebastia was a monumental temple built by Herod the Great in honor of the Roman emperor Augustus, standing atop the acropolis of ancient Samaria."
58,Tourism Interpretation Center,Historic Old City,Nablus,High,All,Cultural,The Tourism Interpretation Center at Sebastia provides visitor orientation and historical context for the archaeological site.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,95,مركز التفسير السياحي,يقدم مركز التفسير السياحي في سبسطية إرشادات للزوار وسياقاً تاريخياً عن الموقع الأثري.,The Tourism Interpretation Center at Sebastia provides visitor orientation and historical context for the archaeological site.
